0,22,0.297,0.21
0,35,0.3,0.28
1,26,0.18,0.3
1,39,0.15,0.15
1,59,0.5,0.5
2,7,0.5,0.5
2,12,0.7,0.65
2,19,0.35,0.5
3,44,0.2124,0.3041
3,57,0.6797,0.2124
4,36,0.3,0.47
4,53,0.297,0.21
7,1,0.35,0.157
7,14,0.31,0.35
7,21,0.32,0.32
7,22,0.28,0.28
9,97,0.35,0.87
12,75,0.42,0.594
13,6,1.63,2.83
15,73,0.3,0.45
16,66,0.4,0.6
16,106,0.4,0.6
16,126,1.9,0.3
17,41,0.4,0.3
17,81,1.9,0.3
20,36,0.35,0.25
22,43,0.21,0.297
22,170,0.297,0.507
22,176,0.297,0.21
22,187,0.297,0.21
23,6,0.18,0.26
24,37,0.3,0.7
24,85,0.26,0.86
25,151,1.8288,2.4384
26,134,1.8288,2.4384
35,24,0.16,0.34
36,87,0.28,0.28
37,53,0.26,0.5
39,43,0.34,0.45
39,52,0.65,0.45
40,101,0.35,2.13
44,17,0.3,0.35
45,37,0.5,0.6
50,16,0.3,0.18
51,54,0.15,0.21
52,67,0.15,0.21
53,25,0.42,0.297
53,27,0.297,0.21
75,52,0.297,0.21
77,17,0.297,0.21
83,19,0.35,1.8
83,27,0.505,0.42
83,246,0.42,1.2
84,69,0.297,0.3
84,163,0.25,0.32
84,238,0.82,0.9
85,97,0.28,0.21
87,104,0.297,0.21
90,82,0.4,0.5
90,85,0.4,0.65
90,170,0.21,0.297
92,177,0.5,0.5
92,219,0.8,0.6
97,103,0.12,0.14
99,125,0.21,0.13
99,128,0.21,0.13
99,154,0.21,0.13
105,159,0.15,0.3
112,131,0.3,0.987
123,24,0.21,0.3
127,50,0.3,0.2
135,121,0.9,0.6
138,32,0.21,0.4
138,71,0.32,0.45
140,25,0.21,0.6
140,34,0.31,0.21
140,86,0.21,0.35
141,74,0.18,0.23
141,86,0.3,0.2
143,84,0.18,0.26
145,6,0.2124,0.3041
150,22,0.42,0.6
157,47,0.6,0.21
158,21,0.27,0.4
158,24,0.6,0.21
160,22,0.25,1.4
160,35,1.05,0.3
162,30,0.28,0.28
163,47,0.22,0.22
163,54,0.28,0.29
